Accession	Title	Technology	Taxonomy	Data Rows	Samples Count	Series Count	Contact	Release Date	AnnotationPackagePrefix	Comments
GPL8180	Illumina Mouse v1 MicroRNA expression beadchip	oligonucleotide beads	Mus musculus	380	24	5	Illumina Inc.	11-Feb-09		Excluding because we have no annotations for microRNA chips
GPL8181	Illumina Mouse v2 MicroRNA expression beadchip	oligonucleotide beads	Mus musculus	656	105	9	Illumina Inc.	11-Feb-09		Excluding because we have no annotations for microRNA chips
GPL8933	"Illumina Human Beta-version microRNA expression BeadChip,"	oligonucleotide beads	Homo sapiens	735	128	3	Yan W. Asmann	31-Jul-09		Excluding because we have no annotations for microRNA chips
GPL8178	Illumina Human v1 MicroRNA expression beadchip	oligonucleotide beads	Homo sapiens	735	1431	25	Illumina Inc.	11-Feb-09		Excluding because we have no annotations for microRNA chips
GPL8179	Illumina Human v2 MicroRNA expression beadchip	oligonucleotide beads	Homo sapiens	1146	3378	97	Illumina Inc.	11-Feb-09		Excluding because we have no annotations for microRNA chips
GPL15762	Illumina Human v2 MicroRNA Expression BeadChip	oligonucleotide beads	Homo sapiens	1146	117	3	Katherine Hill	22-Jan-13		Excluding because we have no annotations for microRNA chips
GPL11309	Illumina Custom Prostate Cancer DASL Panel 1.5K expression beadchip	oligonucleotide beads	Homo sapiens	1536	288	3	Gregory Doho	1-Jun-11		Excluding because this is a custom chip.
GPL7108	Sentrix Mouse-6 Expression BeadChip (3) 	oligonucleotide beads	Mus musculus	9587	16	1	GEO admin	30-Jul-08	illuminaMousev1	This is probably correct based on the timeframe and lack of a later version number specified.
GPL13405	Illumina MouseWG-6 v2.0 expression beadchip (Gene view)	oligonucleotide beads	Mus musculus	9870	12	1	Torben Redmer	14-Apr-11	illuminaMousev2	
GPL20715	Illumina Mouse Ref8 v2.0 expression beadchip	oligonucleotide beads	Mus musculus	17951	24	1	Rebekah Karns	27-Jul-15	illuminaMousev2	
GPL10296	CHB Illumina MouseRef-8 v2.0 expression beadchip	oligonucleotide beads	Mus musculus	18097	12	2	Hao Zhu	7-Apr-10	illuminaMousev2	
GPL11033	MouseRef-8 v2.0 Expression BeadChip	oligonucleotide beads	Mus musculus	18097	79	3	ren liu	9-Oct-10	illuminaMousev2	
GPL19575	Illumina MouseRef-8 v2.0 expression beadchip (ILMN_SYMBOL)	oligonucleotide beads	Mus musculus	18106	333	1	Dervis A Salih	24-Dec-14	illuminaMousev2	
GPL18965	Illumina MouseRef-8 v2.0 expression beadchip (ILMN_SYMBOL)	oligonucleotide beads	Mus musculus	18118	31	2	Kendell Clement	15-Oct-14	illuminaMousev2	
GPL15097	Illumina MouseRef-8 v2.0 expression beadchip (ILMN_GENE)	oligonucleotide beads	Mus musculus	18138	278	21	Amy M. Becker	7-Jan-12	illuminaMousev2	
GPL19462	Illumina MouseRef-8 v2.0 expression beadchip (ILMN_SYMBOL)	oligonucleotide beads	Mus musculus	18138	62	4	Laurensia Yuniati	26-Nov-14	illuminaMousev2	
GPL11123	HumanRef-8 v2 Expression BeadChip	oligonucleotide beads	Homo sapiens	18189	8	1	Sherry Wang	29-May-11	illuminaHumanv2	
GPL28226	llumina HumanHT-12 V4.0 expression beadchip [custom probe mapping]	oligonucleotide beads	Homo sapiens	18279	268	2	Emma Thompson	30-Mar-20	illuminaHumanv4	
GPL22571	"Illumina HumanHT-12 WG-DASL V4.0 expression beadchip (gene summary, GenomeStudio report)"	oligonucleotide beads	Homo sapiens	20261	98	2	Susan Neuhausen	30-Nov-16	illuminaHumanWGDASLv4	
